sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceSource	referenceDoi	referenceCitation
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:1861060	Japan			1957	D. De Jong, R. a Morse, G.C. Eickwort Mite pests of honey bees Annu. Rev. Entomol., 27 (1982), pp. 229-252	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:3437598	Paraguay			1971	D. De Jong, R. a Morse, G.C. Eickwort Mite pests of honey bees Annu. Rev. Entomol., 27 (1982), pp. 229-252	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:3469034	Brazil			1972	D. De Jong, R. a Morse, G.C. Eickwort Mite pests of honey bees Annu. Rev. Entomol., 27 (1982), pp. 229-252	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:1861060	Japan			1957	D. De Jong, R. a Morse, G.C. Eickwort Mite pests of honey bees Annu. Rev. Entomol., 27 (1982), pp. 229-252	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:3437598	Paraguay			1971	D. De Jong, R. a Morse, G.C. Eickwort Mite pests of honey bees Annu. Rev. Entomol., 27 (1982), pp. 229-252	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3203541	Varroa destructor	RO:0002444	parasite of	EOL:1045608	Apis mellifera	GEONAMES:3469034	Brazil			1972	D. De Jong, R. a Morse, G.C. Eickwort Mite pests of honey bees Annu. Rev. Entomol., 27 (1982), pp. 229-252	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:8754850	Nosema ceranae	RO:0002444	parasite of	EOL:2754886	Apis cerana	GEONAMES:1814991	China				I. Fries Nosema ceranae in European honey bees (Apis mellifera) J. Invertebr. Pathol., 103 (Suppl. l) (2010), pp. S73-S79, 10.1016/j.jip.2009.06.017	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:1065257	Bombus hypocrita 	GEONAMES:1861060	Japan				K. Goka, K. Okabe, M. Yoneda, S. Niwa Bumblebee commercialization will cause worldwide migration of parasitic mites Mol. Ecol., 10 (2001), pp. 2095-2099	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:3788082	Bombus hypocrita hypocrita	GEONAMES:1861060	Japan				K. Goka, K. Okabe, M. Yoneda, S. Niwa Bumblebee commercialization will cause worldwide migration of parasitic mites Mol. Ecol., 10 (2001), pp. 2095-2099	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
EOL:3201593	Locustacarus buchneri	RO:0002444	parasite of	EOL:1065256	Bombus ignitus	GEONAMES:1861060	Japan				K. Goka, K. Okabe, M. Yoneda, S. Niwa Bumblebee commercialization will cause worldwide migration of parasitic mites Mol. Ecol., 10 (2001), pp. 2095-2099	doi: http://dx.doi.org/10.1016/j.ijppaw.2015.10.001	Graystock, P., Blane, E.J., McFrederick, Q.S., Goulson, D. and Hughes, W.O., 2016. Do managed bees drive parasite spread and emergence in wild bees?. International Journal for Parasitology: Parasites and Wildlife, 5(1), pp.64-75.
